model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,30,45,0.5,0.7393485094052354,0.020257658578034535,0.9358662723637832,0.008899661645467282,0.7655952380952381,0.020961848510341864,0.8420556847442282,0.013836666211273049,0.1709038942606836,0.02594086185531925,0.4787593984962406,0.07587959883517732,0.25159119879922653,0.037718848539185106,0.2655556547812912,0.04829140613449761
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,30,60,0.5,0.7363208374553594,0.02525638983844518,0.935633897354501,0.009716459581670273,0.7622619047619047,0.027701539369621903,0.8398097229664209,0.017821559479270336,0.1690734884042788,0.02740288194813008,0.4787802840434419,0.08429064788348144,0.24941608291230585,0.0400532996704762,0.26017997047974,0.04651948302546654
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,40,20,0.5,0.7503809804458103,0.02116013910984112,0.9331723538316792,0.009751454126844491,0.7811904761904762,0.020021955069554443,0.8503241899121863,0.013942723369311277,0.1703260546592471,0.03166159275300234,0.44461152882205507,0.0819124824189686,0.2460296833653262,0.044945508521607315,0.26579424589933454,0.05018057498983468
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,40,30,0.5,0.7446489086278391,0.02140582454278542,0.9344130825707772,0.009834128568703507,0.7732142857142856,0.020557700445795187,0.8460732514866843,0.014214798193047305,0.1704219492596968,0.030694036411951262,0.46102756892230584,0.08248105323560709,0.24857477820916962,0.043862074833119526,0.2639066103827209,0.047537017765472915
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,40,45,0.5,0.7393485094052354,0.020257658578034535,0.9358662723637832,0.008899661645467282,0.7655952380952381,0.020961848510341864,0.8420556847442282,0.013836666211273049,0.1709038942606836,0.02594086185531925,0.4787593984962406,0.07587959883517732,0.25159119879922653,0.037718848539185106,0.2655556547812912,0.04829140613449761
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",15,40,60,0.5,0.7363208374553594,0.02525638983844518,0.935633897354501,0.009716459581670273,0.7622619047619047,0.027701539369621903,0.8398097229664209,0.017821559479270336,0.1690734884042788,0.02740288194813008,0.4787802840434419,0.08429064788348144,0.24941608291230585,0.0400532996704762,0.26017997047974,0.04651948302546654
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,10,20,0.5,0.7481052712819325,0.022491040416437735,0.9343525089745324,0.00896102151098604,0.7773809523809523,0.02338914607665298,0.8484862605536783,0.015160771790199132,0.17216821638688729,0.02849863670737205,0.45758145363408526,0.07624773534886348,0.24975880139168347,0.04009714966298339,0.26388767682735026,0.05230569976009288
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,10,30,0.5,0.7448607983048826,0.01675090219047991,0.9362532745613268,0.008673364016863076,0.7717857142857142,0.01795449652811883,0.845969705411683,0.011373169426776075,0.17403512020809547,0.023825823674814128,0.4776733500417711,0.07548885655731287,0.2548287984472531,0.0353657546576316,0.26378689454864546,0.05305617365101169
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,10,45,0.5,0.7425873694107082,0.022213605838460757,0.936513162763601,0.009384749714967278,0.7688095238095237,0.022894934036488235,0.8442379315409229,0.015134221614992957,0.17412656272512184,0.026423932933196358,0.4823308270676691,0.0785216139075467,0.25549672701127424,0.03863867342737335,0.2594107919596014,0.04857732371188753
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,10,60,0.5,0.7326362724255756,0.02286190358256454,0.9364074072083312,0.008411614399928213,0.7571428571428572,0.02399333807765904,0.8370906358322979,0.015848216500441582,0.16940965969329477,0.024923204479707712,0.4893901420217209,0.06972287635101354,0.25133419446975697,0.035501467748466325,0.2578256731156301,0.045945817757360286
